tweet_id,user_id,retweet_from,user_name,user_location,post_date,user_bio,believes_legitimate,tweet_text_body
http://twitter.com/AMike4761/statuses/901825080837197824 ,964678884,2767680652, Waxbitch ,  Michigan USA , 2017-08-27T15:13:49.000Z ," Expat. in U.S.A. Choose common sense, laughter & dogs. Patriot. Like anybody who's not a Cunexttuesday. Islam is a cult.  ", True , RT @AMike4761: Black Lives Matter THUGS Blocking Emergency Crews From Reaching Hurricane Victims - FlashAmericanNews  #ma4t  https://t.co/T
http://twitter.com/AMike4761/statuses/901825080837197824 ,4708379511,2767680652, MariaYes2Trump ," Treasure Coast, FL ", 2017-08-27T15:13:49.000Z , #USMCWife of Decorated #NamVet. Mom. Love God & Country ProLife #2A #MAGA #Extortion1http://gab.ai/MariaYes2Trump1Z , True , RT @AMike4761: Black Lives Matter THUGS Blocking Emergency Crews From Reaching Hurricane Victims - FlashAmericanNews  #ma4t  https://t.co/T
http://twitter.com/AMike4761/statuses/901825080837197824 ,829905602,2767680652, Richard Styles , What Im up too , 2017-08-27T15:13:49.000Z ," Mad Evertonian, Presenter & one of the producers of 24 hrs with Joe Royle's Army When Everton last Won the FA Cup! ", True , RT @AMike4761: Black Lives Matter THUGS Blocking Emergency Crews From Reaching Hurricane Victims - FlashAmericanNews  #ma4t  https://t.co/T
http://twitter.com/AMike4761/statuses/901825080837197824 ,715226815393054000,2767680652, Landmark Carol ,  , 2017-08-27T15:13:49.000Z ," Former teacher, volunteer, building contractor, networker, proud mom and grandmother. Grateful American. ", True , RT @AMike4761: Black Lives Matter THUGS Blocking Emergency Crews From Reaching Hurricane Victims - FlashAmericanNews  #ma4t  https://t.co/T
http://twitter.com/AMike4761/statuses/901825080837197824 ,757997840874385000,2767680652, MJ , United States , 2017-08-27T15:13:49.000Z , Business & Finance News GOP Convention Business & Finance News GOP Convention GOP Convention Journalists Government & Politics Journalists Political News News , True , RT @AMike4761: Black Lives Matter THUGS Blocking Emergency Crews From Reaching Hurricane Victims - FlashAmericanNews  #ma4t  https://t.co/T
http://twitter.com/AMike4761/statuses/901825080837197824 ,2200301911,2767680652, Stiletto-Cabaret ," Las Vegas, NV ", 2017-08-27T15:13:49.000Z , Business & Finance News GOP Convention Business & Finance News GOP Convention GOP Convention Journalists Government & Politics Journalists Political News News , True , RT @AMike4761: Black Lives Matter THUGS Blocking Emergency Crews From Reaching Hurricane Victims - FlashAmericanNews  #ma4t  https://t.co/T
http://twitter.com/AMike4761/statuses/901825080837197824 ,2249707514,2767680652, Deplorable Roxanna ," California, USA ", 2017-08-27T15:13:49.000Z ," Realtor, Ex-Dem, Pro Trump, pro Israel, Christian, support 2nd Amendment ", True , RT @AMike4761: Black Lives Matter THUGS Blocking Emergency Crews From Reaching Hurricane Victims - FlashAmericanNews  #ma4t  https://t.co/T
http://twitter.com/AMike4761/statuses/901825080837197824 ,826236463364919000,2767680652, Thorne VanDerBroek , United States , 2017-08-27T15:13:49.000Z , Welder who loves family and old cars! MAGA!! winning!! , True , RT @AMike4761: Black Lives Matter THUGS Blocking Emergency Crews From Reaching Hurricane Victims - FlashAmericanNews  #ma4t  https://t.co/T
http://twitter.com/AMike4761/statuses/901825080837197824 ,764244464395223000,2767680652, Cecy Hanna ,  , 2017-08-27T15:13:49.000Z , Welder who loves family and old cars! MAGA!! winning!! , True , RT @AMike4761: Black Lives Matter THUGS Blocking Emergency Crews From Reaching Hurricane Victims - FlashAmericanNews  #ma4t  https://t.co/T
http://twitter.com/AMike4761/statuses/901825080837197824 ,365729749,2767680652, ObamaGate Elmer ," Basket of Deplorables, USA ", 2017-08-27T15:13:49.000Z , Shh... Be vewy vewy quiet... Im hunting HillBots , True , RT @AMike4761: Black Lives Matter THUGS Blocking Emergency Crews From Reaching Hurricane Victims - FlashAmericanNews  #ma4t  https://t.co/T
http://twitter.com/AMike4761/statuses/901825080837197824 ,4874672487,2767680652, Dolly ," Westhampton, NY ", 2017-08-27T15:13:49.000Z , #Boycott Hamilton , True , RT @AMike4761: Black Lives Matter THUGS Blocking Emergency Crews From Reaching Hurricane Victims - FlashAmericanNews  #ma4t  https://t.co/T
http://twitter.com/AMike4761/statuses/901825080837197824 ,806891729475567000,2767680652, Nonnie Myers ," Ohio, USA ", 2017-08-27T15:13:49.000Z ," Wife to a devoted and loving husband, have 4 wonderful children. I love God, family,horses,farming,the USA ,President Trump,our law enforcement, & military! ", True , RT @AMike4761: Black Lives Matter THUGS Blocking Emergency Crews From Reaching Hurricane Victims - FlashAmericanNews  #ma4t  https://t.co/T
http://twitter.com/AMike4761/statuses/901825080837197824 ,776697074398048000,2767680652, Walter Barry , Currently living in Thailand , 2017-08-27T15:13:49.000Z , Retired navy , True , RT @AMike4761: Black Lives Matter THUGS Blocking Emergency Crews From Reaching Hurricane Victims - FlashAmericanNews  #ma4t  https://t.co/T
http://twitter.com/AMike4761/statuses/901825080837197824 ,771765728248823000,2767680652, Allan ," Georgia, USA ", 2017-08-27T15:13:49.000Z ," Retired, wanting to preserve a conservative  country for our children for many generations to come. Love being on the Trump train . ", True , RT @AMike4761: Black Lives Matter THUGS Blocking Emergency Crews From Reaching Hurricane Victims - FlashAmericanNews  #ma4t  https://t.co/T
