tweet_id,user_id,retweet_from,user_name,user_location,user_location_cleaned,latitude,longitude,post_date,user_bio,believes_legitimate,tweet_text_body
http://twitter.com/snopes/statuses/902230783561273347 ,2970019887,14294848, Tracy McQueenie , United States ,United States ,39.7837304,-100.4458825, 2017-08-28T18:05:56.000Z , A young soul in an old building. Anti-trump. , False , RT @snopes: Black Lives Matter Thugs Blocked Emergency Crews from Reaching Hurricane Victims? https://t.co/o9jE9ZtyHz
http://twitter.com/iamkevin/statuses/902231215071211522 ,18159783, None , Kevin McGrew ," San Diego, CA ","San Diego, CA ",32.7174209,-117.1627714, 2017-08-28T18:07:38.000Z , CEO/Founder @Everzocial | Digital Marketing & Biz Strategist | Author/Speaker | Coffee & Cigar Enthusiast | Idea King | Embrace the Hustle , False , Black Lives Matter Thugs Blocking Emergency Crews from Reaching Hurricane Harvey Victims Is Fake News https://t.co/pIzKYCgHFS #SocialMed
http://twitter.com/snopes/statuses/902230783561273347 ,2730987470,14294848, OhNowWhat? ," Wisconsin, USA ","Wisconsin, USA ",44.4308975,-89.6884637, 2017-08-28T18:05:56.000Z , don't be a jerk. stop hurting each other. , False , RT @snopes: Black Lives Matter Thugs Blocked Emergency Crews from Reaching Hurricane Victims? https://t.co/o9jE9ZtyHz
http://twitter.com/ankitc265/statuses/902231354485739522 ,174370157, None , Ankit Chauhan , Lucknow ,"Lucknow, India ",26.8381,80.9346001, 2017-08-28T18:08:12.000Z , CEO @digipromarketer ||  Digital Marketing || Growth Hacker || [#SEO] || Brand Promoter || Linkedin https://www.linkedin.com/in/ankitc265 , False , Black Lives Matter Thugs Blocking Emergency Crews from Reaching Hurricane Harvey Victims https://t.co/BJX6AzvRE1
http://twitter.com/snopes/statuses/902230783561273347 ,7.87E+17,14294848, Sparklesaurus Hex , US ,US ,39.7837304,-100.4458825, 2017-08-28T18:05:56.000Z , Hardcore problem solver. Hate hater. Wave maker. In search of my evil twin. Amateur minimalist. Introspective food explorer. Wannabe vegetarian. Dammit Bacon. , False , RT @snopes: Black Lives Matter Thugs Blocked Emergency Crews from Reaching Hurricane Victims? https://t.co/o9jE9ZtyHz
http://twitter.com/dea_tabs/statuses/902231445128740864 ,15268506, None , Andrea Toribio , Quezon City ,"Quezon City, Philippines ",14.6509905,121.0486155, 2017-08-28T18:08:33.000Z ," creative ninja by day, rockstar wife and momma by night \m/ ", False , Black Lives Matter Thugs Blocking Emergency Crews from Reaching Hurricane Harvey Victims Is Fake News via B2Comm https://t.co/90Ed6ZiiyV
http://twitter.com/FabioSanges/statuses/902231744010752000 ,483291489, None , Fabio Sanges ," Roma, Lazio ",No Address ,0,0, 2017-08-28T18:09:45.000Z , Digital Marketing Strategist per PMI , False , Black Lives Matter Thugs Blocking Emergency Crews from Reaching Hurricane Harvey Victims Is Fake News https://t.co/s2Lh5VpNV7
http://twitter.com/KennethHitchner/statuses/902231652818083840 ,300615384, None , Kenneth Hitchner ," New Jersey, USA ","New Jersey, USA ",40.0757384,-74.4041622, 2017-08-28T18:09:23.000Z ," #Communications strategist who protects, promotes brand through PR (problem resolution). Most over more. Myers-Briggs INTJ. #socialmedia #growthhacking ", False , Black Lives Matter Thugs Blocking Emergency Crews from Reaching Hurricane Harvey Victims Is https://t.co/egkFoVOkd6
http://twitter.com/snopes/statuses/902230783561273347 ,7573442,14294848, (((LordyDocHolly))) , Vegas ,Vegas ,22.7362659,-81.8159182, 2017-08-28T18:05:56.000Z ," Big City Woman living in Vegas. NYU & Stern grad. News Analyst.  Entrepreneur, Economist, Elitist & Egalitarian. #Hunkpapa I work I shower I occupy. #uniteblue ", False , RT @snopes: Black Lives Matter Thugs Blocked Emergency Crews from Reaching Hurricane Victims? https://t.co/o9jE9ZtyHz
http://twitter.com/snopes/statuses/902230783561273347 ,1318048466,14294848, J Spencer ," Saint Michaels,  AZ ","Saint Michaels,  AZ ",35.6611745,-109.0974388, 2017-08-28T18:05:56.000Z ," Navajo Filmmaker, Writer, Shepard(Retired) and Raconteur, Ze Baron of Bitahochee.  I am a leaf in the wind, till the wind stops blowing. ", False , RT @snopes: Black Lives Matter Thugs Blocked Emergency Crews from Reaching Hurricane Victims? https://t.co/o9jE9ZtyHz
